Permission,Short Description,Android Protection Level,Deprecated?,Hidden?,Permission Group,PII Accessed?,PII Type,API Methods,Special Notes,Long Description
CALL_PRIVILEGED,"Allows an application to call any phone number, including emergency numbers, without going through the Dialer user interface for the user to confirm the call being placed.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,"Allows an application to call any phone number, including emergency numbers, without going through the Dialer user interface for the user to confirm the call being placed."
CAMERA,Required to be able to access the camera device.,Dangerous | instant,No,No,UNDEFINED (CAMERA),,,,,"Required to be able to access the camera device. This will automatically enforce the uses-feature manifest element for all camera features. If you do not require all camera features or can properly operate if a camera is not available, then you must modify your manifest as appropriate in order to install on devices that don't support all camera features."
CAMERA_DISABLE_TRANSMIT_LED,Allows disabling the transmit-indicator LED that is normally on when a camera is in use by an application.,Signature | privileged,No,Yes,NONE (camera image),,,,System API.,Allows disabling the transmit-indicator LED that is normally on when a camera is in use by an application.
CAMERA_SEND_SYSTEM_EVENTS,Allows sending the camera service notifications about system-wide events.,Signature | privileged,No,Yes,NONE (camera image),,,,,Allows sending the camera service notifications about system-wide events.
CARRIER_FILTER_SMS,Allows an application to filter carrier specific sms.,Signature | privileged,No,Yes,NONE (install permission),,,,,Allows an application to filter carrier specific sms.
CAPTURE_AUDIO_HOTWORD,Allows an application to capture audio for hotword detection.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to capture audio for hotword detection.
CAPTURE_AUDIO_OUTPUT,Allows an application to capture audio output.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,"Allows an application to capture audio output. Use the CAPTURE_MEDIA_OUTPUT permission if only the USAGE_UNKNOWN), USAGE_MEDIA) or USAGE_GAME) usages are intended to be captured."
CAPTURE_MEDIA_OUTPUT,Allows an application to capture the audio played by other apps that have set an allow capture policy of android.media.AudioAttributes#ALLOW_CAPTURE_BY_SYSTEM.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to capture the audio played by other apps that have set an allow capture policy of android.media.AudioAttributes#ALLOW_CAPTURE_BY_SYSTEM. Without this permission, only audio with an allow capture policy of android.media.AudioAttributes#ALLOW_CAPTURE_BY_ALL can be used. There are strong restriction listed at android.media.AudioAttributes#ALLOW_CAPTURE_BY_SYSTEM on what an app can do with the captured audio. See CAPTURE_AUDIO_OUTPUT for capturing audio use cases other than media playback."
CAPTURE_SECURE_VIDEO_OUTPUT,Allows an application to capture secure video output.,Not for use by 3rd-parties | Signature,Yes,Yes,NONE (private permissions),,,,,Allows an application to capture secure video output.
CAPTURE_TV_INPUT,Allows to capture a frame of TV input hardware such as built-in tuners and HDMI-in's.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows to capture a frame of TV input hardware such as built-in tuners and HDMI-in's.
CAPTURE_VIDEO_OUTPUT,Allows an application to capture video output.,Not for use by 3rd-parties | Signature,Yes,Yes,NONE (private permissions),,,,,Allows an application to capture video output.
CHANGE_ACCESSIBILITY_VOLUME,Allows an application to change the accessibility volume.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to change the accessibility volume.
CHANGE_HDMI_CEC_ACTIVE_SOURCE,Allows an application to change HDMI CEC active source.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to change HDMI CEC active source.
CHANGE_COMPONENT_ENABLED_STATE,Allows an application to change whether an application component (other than its own) is enabled or not.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,Allows an application to change whether an application component (other than its own) is enabled or not.
CHANGE_CONFIGURATION,"Allows an application to modify the current configuration, such as locale.",Signature | privileged | development,No,No,NONE (low-level system),,,,,"Allows an application to modify the current configuration, such as locale."
CHANGE_LOWPAN_STATE,Allows applications to change LoWPAN connectivity state.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to change LoWPAN connectivity state.
CHANGE_NETWORK_STATE,Allows applications to change network connectivity state.,Normal,No,No,NONE (low-level system),,,,,Allows applications to change network connectivity state.
CHANGE_OVERLAY_PACKAGES,"Allows an application to enable, disable and change priority of runtime resource overlays.",Signature | privileged,No,Yes,NONE (low-level system),,,,,"Allows an application to enable, disable and change priority of runtime resource overlays."
CHANGE_WIFI_MULTICAST_STATE,Allows applications to enter Wi-Fi Multicast mode.,Normal,No,No,NONE (battery),,,,,Allows applications to enter Wi-Fi Multicast mode.
CHANGE_WIFI_STATE,Allows applications to change Wi-Fi connectivity state.,Normal,No,No,NONE (network),,,,,Allows applications to change Wi-Fi connectivity state.
CHANGE_WIMAX_STATE,None,Normal,No,Yes,NONE (network),,,,,None
CLEAR_APP_CACHE,Allows an application to clear the caches of all installed applications on the device.,Signature | privileged,No,No,NONE (low-level system),,,,,Allows an application to clear the caches of all installed applications on the device.
CLEAR_APP_GRANTED_URI_PERMISSIONS,Allows an application to clear the URI permissions granted to another application.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows an application to clear the URI permissions granted to another application.
CHANGE_APP_IDLE_STATE,Allows an application to change the app idle state of an app.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API. Test API.,Allows an application to change the app idle state of an app.
CHANGE_BACKGROUND_DATA_SETTING,Allows applications to change the background data setting.,Not for use by 3rd-parties | Signature,No,Yes (Pending API council approval),NONE (private permissions),,,,,Allows applications to change the background data setting.
CHANGE_DEVICE_IDLE_TEMP_WHITELIST,Allows an application to temporarily whitelist an inactive app to access the network and acquire wakelocks.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to temporarily whitelist an inactive app to access the network and acquire wakelocks.
CLEAR_APP_USER_DATA,Allows an application to clear user data.,Not for use by 3rd-parties | Signature | installer,No,Yes,NONE (private permissions),,,,System API. Test API.,Allows an application to clear user data.
CONFIGURE_DISPLAY_BRIGHTNESS,Allows an application to modify the display brightness configuration.,Signature | privileged | development,No,Yes,NONE (private permissions),,,,System API. Test API.,Allows an application to modify the display brightness configuration.
CONFIGURE_DISPLAY_COLOR_MODE,Allows an application to control the color modes set for displays system-wide.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows an application to control the color modes set for displays system-wide.
CONFIGURE_WIFI_DISPLAY,Allows an application to configure and connect to Wifi displays.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to configure and connect to Wifi displays.
CONFIRM_FULL_BACKUP,Allows a package to launch the secure full-backup confirmation UI.,ONLY the system process may hold this permission | Signature,No,Yes,NONE (private permissions),,,,,Allows a package to launch the secure full-backup confirmation UI.
CONNECTIVITY_INTERNAL,Allows an internal user to use privileged ConnectivityManager APIs.,Signature | privileged,No,Yes,NONE (peripheral),,,,System API.,Allows an internal user to use privileged ConnectivityManager APIs.
CONNECTIVITY_USE_RESTRICTED_NETWORKS,Allows an internal user to use restricted Networks.,Signature | privileged,No,Yes,NONE (peripheral),,,,System API.,Allows an internal user to use restricted Networks.
CONTROL_ALWAYS_ON_VPN,Allows an application to access and modify always-on VPN configuration.,Not for use by 3rd-parties or privileged applications | Signature,No,Yes,NONE (private permissions),,,,,Allows an application to access and modify always-on VPN configuration.
CONTROL_DISPLAY_BRIGHTNESS,Allows an application to control the system's display brightness.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to control the system's display brightness.
CONTROL_DISPLAY_COLOR_TRANSFORMS,Allows an application to control display color transformations.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to control display color transformations.
CONTROL_DISPLAY_SATURATION,Allows an application to control the color saturation of the display.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to control the color saturation of the display.
CONTROL_INCALL_EXPERIENCE,Allows an application to control the in-call experience.,Signature | privileged,No,Yes,NONE (telephony),,,,System API.,Allows an application to control the in-call experience.
CONTROL_KEYGUARD,Allows an application to control keyguard.,Only allowed for system processes | Signature,No,No,NONE (private permissions),,,,,Allows an application to control keyguard.
CONTROL_KEYGUARD_SECURE_NOTIFICATIONS,Allows an application to control keyguard features like secure notifications.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to control keyguard features like secure notifications.
CONTROL_LOCATION_UPDATES,Allows enabling/disabling location update notifications from the radio.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,Allows enabling/disabling location update notifications from the radio.
CONTROL_REMOTE_APP_TRANSITION_ANIMATIONS,Allows an application to control remote animations. See ActivityOptions#makeRemoteAnimation.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to control remote animations. See ActivityOptions#makeRemoteAnimation.
CONTROL_VPN,Allows an application to control VPN.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to control VPN.
CONTROL_WIFI_DISPLAY,Allows an application to control low-level features of Wifi displays such as opening an RTSP socket.,This permission should only be used by the display manager | Signature,No,Yes,NONE (private permission),,,,,Allows an application to control low-level features of Wifi displays such as opening an RTSP socket.
COPY_PROTECTED_DATA,Must be required by default container service so that only the system can bind to it and use it to copy protected data to secure containers or files accessible to the system.,Signature,No,Yes,NONE (private permission),,,,,Must be required by default container service so that only the system can bind to it and use it to copy protected data to secure containers or files accessible to the system.
CREATE_USERS,"Allows an application to create, remove users and get the list of users on the device.",Not for use by 3rd-parties | Signature,No,Yes,NONE (access other apps),,,,,"Allows an application to create, remove users and get the list of users on the device. Applications holding this permission can only create restricted, guest, managed, demo, and ephemeral users. For creating other kind of users, MANAGE_USERS is needed."
CRYPT_KEEPER,Internal permission protecting access to the encryption methods.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Internal permission protecting access to the encryption methods.
DELETE_CACHE_FILES,"Old permission for deleting an app's cache files, no longer used, but signals for us to quietly ignore calls instead of throwing an exception.",Signature | privileged,No,No,NONE (private permission),,,,,"Old permission for deleting an app's cache files, no longer used, but signals for us to quietly ignore calls instead of throwing an exception."
DELETE_PACKAGES,Allows an application to delete packages.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permission),,,,"Starting in Build.VERSION_CODES.N, user confirmation is requested when the application deleting the package is not the same application that installed the package.",Allows an application to delete packages.
DEVICE_POWER,Allows low-level access to power management.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,System API.,Allows low-level access to power management.
DIAGNOSTIC,Allows applications to RW to diagnostic resources.,Not for use by 3rd-parties | Signature,No,No,NONE (private permission),,,,,Allows applications to RW to diagnostic resources.
DISABLE_HIDDEN_API_CHECKS,Allows hidden API checks to be disabled when starting a process.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,,Allows hidden API checks to be disabled when starting a process.
DISABLE_INPUT_DEVICE,"Allows an application to disable/enable input devices. Could be used to prevent unwanted touch events on a touchscreen, for example during swimming or rain.",Signature,No,Yes,NONE (private permission),,,,,"Allows an application to disable/enable input devices. Could be used to prevent unwanted touch events on a touchscreen, for example during swimming or rain."
DISABLE_KEYGUARD,Allows applications to disable the keyguard if it is not secure.,Normal,No,No,NONE (screenlock),,,,,Allows applications to disable the keyguard if it is not secure.
DISPATCH_NFC_MESSAGE,Allows the Nfc stack to dispatch Nfc messages to applications. Applications can use this permission to ensure incoming Nfc messages are from the Nfc stack and not simulated by another application.,Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows the Nfc stack to dispatch Nfc messages to applications. Applications can use this permission to ensure incoming Nfc messages are from the Nfc stack and not simulated by another application.
DISPATCH_PROVISIONING_MESSAGE,"Allows trusted applications to dispatch managed provisioning message to Managed Provisioning app. If requesting app does not have permission, it will be ignored.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows trusted applications to dispatch managed provisioning message to Managed Provisioning app. If requesting app does not have permission, it will be ignored."
DUMP,Allows an application to retrieve state dump information from system services.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,,Allows an application to retrieve state dump information from system services.
DVB_DEVICE,Allows TvInputService to access DVB device.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,,Allows TvInputService to access DVB device.
ENABLE_TEST_HARNESS_MODE,"Allows the device to be reset, clearing all data and enables Test Harness Mode.",Signature,No,Yes,NONE (peripheral),,,,,"Allows the device to be reset, clearing all data and enables Test Harness Mode."
EXPAND_STATUS_BAR,Allows an application to expand or collapse the status bar.,Normal,No,No,NONE (status bar),,,,,Allows an application to expand or collapse the status bar.
FACTORY_TEST,"Run as a manufacturer test application, running as the root user.",Not for use by 3rd-parties | Signature,No,No,NONE (private permissions),,,,,"Run as a manufacturer test application, running as the root user. Only available when the device is running in manufacturer test mode."
FILTER_EVENTS,"Allows an application to register an input filter which filters the stream of user events (keys, touch, trackball) before they are dispatched to any window.",Signature,No,Yes,NONE (private permission),,,,,"Allows an application to register an input filter which filters the stream of user events (keys, touch, trackball) before they are dispatched to any window."
FLASHLIGHT,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
FORCE_BACK,Allows an application to force a BACK operation on whatever is the top activity.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,System API.,Allows an application to force a BACK operation on whatever is the top activity.
FORCE_PERSISTABLE_URI_PERMISSIONS,Allows an application to change the status of a persistable URI permission granted to another application.,This permission should only be requested by the platform settings app | This permission cannot be granted to 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows an application to change the status of a persistable URI permission granted to another application.
FORCE_STOP_PACKAGES,Allows an application to call android.app.ActivityManager#forceStopPackage.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API. Test API.,Allows an application to call android.app.ActivityManager#forceStopPackage.
FOREGROUND_SERVICE,Allows a regular application to use Service.startForeground.,Normal | instant,No,No,NONE (private permissions),,,,,Allows a regular application to use Service.startForeground.
FRAME_STATS,Allows an application to collect frame statistics.,Signature,No,Yes,NONE (private permission),,,,,Allows an application to collect frame statistics.
FREEZE_SCREEN,Allows the application to temporarily freeze the screen for a full-screen transition.,Signature,No,Yes,NONE (private permission),,,,,Allows the application to temporarily freeze the screen for a full-screen transition.
GET_ACCOUNTS,Allows access to the list of accounts in the Accounts Service.,Dangerous,No,No,UNDFINED (account),,,,"Beginning with Android 6.0 (API level 23), if an app shares the signature of the authenticator that manages an account, it does not need ""GET_ACCOUNTS"" permission to read information about that account. On Android 5.1 and lower, all apps need ""GET_ACCOUNTS"" permission to read information about any account.",Allows access to the list of accounts in the Accounts Service.
GET_ACCOUNTS_PRIVILEGED,Allows access to the list of accounts in the Accounts Service.,Signature | privileged,No,No,NONE (private permission),,,,,Allows access to the list of accounts in the Accounts Service.
GET_APP_GRANTED_URI_PERMISSIONS,Allows an application to get the URI permissions granted to another application.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,,Allows an application to get the URI permissions granted to another application.
GET_APP_OPS_STATS,Allows an application to collect application operation statistics. ,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (private permission),,,,System API.,Allows an application to collect application operation statistics. 
GET_DETAILED_TASKS,"Allows an application to get full detailed information about recently running tasks, with full fidelity to the real state.",Signature,No,Yes,NONE (access other apps),,,,,"Allows an application to get full detailed information about recently running tasks, with full fidelity to the real state."
GET_INTENT_SENDER_INTENT,Allows use of PendingIntent.getIntent().,Signature,No,Yes,NONE (access other apps),,,,,Allows use of PendingIntent.getIntent().
GET_PACKAGE_SIZE,Allows an application to find out the space used by any package.,Normal,No,No,NONE (low-level system),,,,,Allows an application to find out the space used by any package.
GET_PASSWORD,Allows but does not guarantee access to user passwords at the conclusion of add account.,Signature,No,Yes,NONE (private permission),,,,,Allows but does not guarantee access to user passwords at the conclusion of add account.
GET_PROCESS_STATE_AND_OOM_SCORE,Allows an application to query process states and current OOM adjustment scores.,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (access other apps),,,,System API.,Allows an application to query process states and current OOM adjustment scores.
GET_RUNTIME_PERMISSIONS,Allows the system to read runtime permission state.,Signature,No,Yes,NONE (private permission),,,,System API.,Allows the system to read runtime permission state.
GET_TASKS,This constant was deprecated in API level 21. No longer enforced. Replaced by REAL_GET_TASKS.,Normal,Yes,No,NONE (access other apps),,,,,Removed
GET_TOP_ACTIVITY_INFO,"Allows an application to retrieve private information about the current top activity, such as any assist context it can provide.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,System API.,"Allows an application to retrieve private information about the current top activity, such as any assist context it can provide."
GLOBAL_SEARCH,This permission can be used on content providers to allow the global search system to access their data.,Signature | privileged,No,No,NONE (private permissions),,,,,"This permission can be used on content providers to allow the global search system to access their data. Typically it used when the provider has some permissions protecting it (which global search would not be expected to hold), and added as a read-only permission to the path in the provider where global search queries are performed. This permission can not be held by regular applications; it is used by applications to protect themselves from everyone else besides global search."
GLOBAL_SEARCH_CONTROL,"Internal permission protecting access to the global search system: ensures that only the system can access the provider to perform queries (since this otherwise provides unrestricted access to a variety of content providers), and to write the search statistics (to keep applications from gaming the source ranking).",Signature,No,Yes,NONE (private permission),,,,,"Internal permission protecting access to the global search system: ensures that only the system can access the provider to perform queries (since this otherwise provides unrestricted access to a variety of content providers), and to write the search statistics (to keep applications from gaming the source ranking)."
GRANT_PROFILE_OWNER_DEVICE_IDS_ACCESS,Allows an app to grant a profile owner access to device identifiers.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permission),,,,System API.,Allows an app to grant a profile owner access to device identifiers.
GRANT_RUNTIME_PERMISSIONS,Allows an application to grant specific permissions.,Signature | installer | verifier,No,Yes,NONE (private permission),,,,System API.,Allows an application to grant specific permissions.
HARDWARE_TEST,Allows access to hardware peripherals. Intended only for hardware testing.,Not for use by 3rd-parties | Signature,No,Yes,NONE (hardware),,,,System API.,Allows access to hardware peripherals. Intended only for hardware testing.
HDMI_CEC,Allows HDMI-CEC service to access device and configuration files. This should only be used by HDMI-CEC service.,Signature | privileged | vendorPrivileged,No,Yes,NONE (location info),,,,System API.,Allows HDMI-CEC service to access device and configuration files. This should only be used by HDMI-CEC service.
HIDE_NON_SYSTEM_OVERLAY_WINDOWS,Allows an application to use  android.view.WindowManager.LayoutsParams#SYSTEM_FLAG_HIDE_NON_SYSTEM_OVERLAY_WINDOWS to hide non-system-overlay windows.,Not for use by 3rd-parties | Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to use  android.view.WindowManager.LayoutsParams#SYSTEM_FLAG_HIDE_NON_SYSTEM_OVERLAY_WINDOWS to hide non-system-overlay windows.
INJECT_EVENTS,"Allows an application to inject user events (keys, touch, trackball) into the event stream and deliver them to ANY window.  Without this permission, you can only deliver events to windows in your own process.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to inject user events (keys, touch, trackball) into the event stream and deliver them to ANY window.  Without this permission, you can only deliver events to windows in your own process."
INSTALL_DYNAMIC_SYSTEM,Allows an application to install a DynamicSystem image and get status updates.,Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows an application to install a DynamicSystem image and get status updates.
INSTALL_EXISTING_PACKAGES,Allows an application to install existing system packages. This is a limited version of INSTALL_PACKAGES.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permission),,,,Will remove this permission once there is a long-term solution.,Allows an application to install existing system packages. This is a limited version of INSTALL_PACKAGES.
INSTALL_GRANT_RUNTIME_PERMISSIONS,Allows an app that has this permission and the permissions to install packages to request certain runtime permissions to be granted at installation.,Signature | installer | verifier,No,Yes,NONE (private permission),,,,System API.,Allows an app that has this permission and the permissions to install packages to request certain runtime permissions to be granted at installation.
INSTALL_LOCATION_PROVIDER,Allows an application to install a location provider into the Location Manager.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (location info),,,,,Allows an application to install a location provider into the Location Manager.
INSTALL_PACKAGE_UPDATES,Allows an application to install updates. This is a limited version of INSTALL_PACKAGES.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permission),,,,System API.,Allows an application to install updates. This is a limited version of INSTALL_PACKAGES.
INSTALL_PACKAGES,Allows an application to install packages.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permission),,,,,Allows an application to install packages.
INSTALL_SELF_UPDATES,Allows an application to install self updates. This is a limited version of INSTALL_PACKAGES.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permission),,,,System API.,Allows an application to install self updates. This is a limited version of INSTALL_PACKAGES.
INSTALL_SHORTCUT,Allows an application to install a shortcut in Launcher.,Normal,Yes,No,NONE (shortcut),,,,"In Android O (API level 26) and higher, the INSTALL_SHORTCUT broadcast no longer has any effect on your app because it's a private, implicit broadcast. Instead, you should create an app shortcut by using the requestPinShortcut() method from the ShortcutManager class.",Allows an application to install a shortcut in Launcher.
INSTANT_APP_FOREGROUND_SERVICE,Allows an instant app to create foreground services.,Signature | development | instant | appop,No,No,NONE (private permissions),,,,,Allows an instant app to create foreground services.
INTENT_FILTER_VERIFICATION_AGENT,Intent filter verifier needs to have this permission before the PackageManager will trust it to verify intent filters.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Intent filter verifier needs to have this permission before the PackageManager will trust it to verify intent filters.
INTERACT_ACROSS_PROFILES,"Allows an application to start its own activities, but on a different profile associated with the user.",Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (access other apps),,,,System API.,"Allows an application to start its own activities, but on a different profile associated with the user. For example, an application running on the main profile of a user can start an activity on a managed profile of that user."
INTERACT_ACROSS_USERS,"Allows an application to call APIs that allow it to do interactions across the users on the device, using singleton services and user-targeted broadcasts.",Not for use by 3rd-patries | Signature | privileged | development,No,Yes,NONE (access other apps),,,,System API.,"Allows an application to call APIs that allow it to do interactions across the users on the device, using singleton services and user-targeted broadcasts."
INTERACT_ACROSS_USERS_FULL,Fuller form of INTERACT_ACROSS_USERS that removes restrictions on where broadcasts can be sent and allows other types of interactions,Signature | installer,No,Yes,NONE (access other apps),,,,System API.,Fuller form of INTERACT_ACROSS_USERS that removes restrictions on where broadcasts can be sent and allows other types of interactions
INTERNAL_DELETE_CACHE_FILES,Allows an application to delete cache files.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to delete cache files.
INTERNAL_SYSTEM_WINDOW,Allows an application to open windows that are for use by parts of the system user interface.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to open windows that are for use by parts of the system user interface.
INTERNET,Allows applications to open network sockets.,Normal | instant,No,No,NONE (network),,,,,Allows applications to open network sockets.
INVOKE_CARRIER_SETUP,Allows an application to call into a carrier setup flow. It is up to the carrier setup application to enforce that this permission is required.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps. System API. ,Allows an application to call into a carrier setup flow. It is up to the carrier setup application to enforce that this permission is required.
KILL_BACKGROUND_PROCESSES,Allows an application to call ActivityManager.killBackgroundProcesses(String).,Normal,No,No,NONE (access other apps),,,,,Allows an application to call ActivityManager.killBackgroundProcesses(String).
KILL_UID,Allows applications to kill UIDs.,Not for use by 3rd-parties | Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows applications to kill UIDs.
LAUNCH_TRUST_AGENT_SETTINGS,Allows an application to launch the trust agent settings activity.,Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to launch the trust agent settings activity.
LOCAL_MAC_ADDRESS,Allows applications to read the local WiFi and Bluetooth MAC address.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows applications to read the local WiFi and Bluetooth MAC address.
LOCATION_HARDWARE,"Allows an application to use location features in hardware, such as the geofencing api.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (location info),,,,,"Allows an application to use location features in hardware, such as the geofencing api."
LOCK_DEVICE,Allows an app to lock the device.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an app to lock the device.
LOOP_RADIO,Allows access to the loop radio (Android@Home mesh network) device.,Signature | privileged,No,Yes,NONE (peripheral),,,,System API.,Allows access to the loop radio (Android@Home mesh network) device.
MANAGE_ACCESSIBILITY,Allows modifying accessibility state.,Signature | setup,No,Yes,NONE (private permissions),,,,System API.,Allows modifying accessibility state.
MANAGE_ACCOUNTS,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
MANAGE_ACTIVITY_STACKS,Allows an application to create/manage/remove stacks.,Signature,No,Yes,NONE (access other apps),,,,System API. Test API.,Allows an application to create/manage/remove stacks.
MANAGE_APP_OPS_MODES,Allows an application to update the user app op modes.,Not for use by 3rd-parties | Signature | installer | verifier,No,Yes,NONE (private permissions),,,,,Allows an application to update the user app op modes.
MANAGE_APP_OPS_RESTRICTIONS,Allows an application to update the user app op restrictions.,Not for use by 3rd-parties | Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to update the user app op restrictions.
MANAGE_APP_PREDICTIONS,Allows an application to manage the app predictions service.,Not for use by 3rd-patries | Signature | appPredictor,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage the app predictions service.
MANAGE_APP_TOKENS,"Allows an application to manage (create, destroy, Z-order) application tokens in the window manager.",Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to manage (create, destroy, Z-order) application tokens in the window manager."
MANAGE_APPOPS,Permission that allows configuring appops.,Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,,Permission that allows configuring appops.
MANAGE_AUDIO_POLICY,Allows audio policy management.,Signature,No,Yes,NONE (private permissions),,,,,Allows audio policy management.
MANAGE_AUTO_FILL,Allows an application to manage auto-fill sessions.,Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage auto-fill sessions.
MANAGE_BIND_INSTANT_SERVICE,Allows the holder to manage whether the system can bind to services provided by instant apps. This permission is intended to protect test/development fucntionality and should be used only in such cases.,Signature,No,Yes,NONE (private permissions),,,,,Allows the holder to manage whether the system can bind to services provided by instant apps. This permission is intended to protect test/development fucntionality and should be used only in such cases.
MANAGE_BIOMETRIC,Allows direct access to the <Biometric>Service interfaces.,Reserved for the system | Signature,No,Yes,NONE (private permissions),,,,,Allows direct access to the <Biometric>Service interfaces.
MANAGE_BIOMETRIC_DIALOG,Allows the system to control the BiometricDialog (SystemUI).,Reserved for the system | Signature,No,Yes,NONE (private permissions),,,,,Allows the system to control the BiometricDialog (SystemUI).
MANAGE_BLUETOOTH_WHEN_WIRELESS_CONSENT_REQUIRED,Allows internal management of Bluetooth state when on wireless consent mode.,Not for use by 3rd-patries | Signature,No,Yes,NONE (peripheral),,,,,Allows internal management of Bluetooth state when on wireless consent mode.
MANAGE_CA_CERTIFICATES,Allows an application to install and/or uninstall CA certificates on behalf of the user.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows an application to install and/or uninstall CA certificates on behalf of the user.
MANAGE_CAMERA,Allows internal management of the camera framework.,Signature,No,Yes,NONE (private permissions),,,,,Allows internal management of the camera framework.
MANAGE_CARRIER_OEM_UNLOCK_STATE,Allows reading and enabling/disabling the OEM unlock allowed by carrier state.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows reading and enabling/disabling the OEM unlock allowed by carrier state.
MANAGE_CONTENT_CAPTURE,Allows an application to manage the content capture service.,Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage the content capture service.
MANAGE_CONTENT_SUGGESTIONS,Allows an application to manage the content suggestions service.,Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage the content suggestions service.
